,id,name,release_date,popularity,label
147,5FSUnOoePJ9YC6YySMts9t,Crump - Original Edit,2010-10-22,19,Fusion Records
148,2VKZqJb24hL9TERMShz5Ti,Marlboro Man - Original Edit,2010-10-22,19,Fusion Records
149,6S9KoWXS4jj9EtLw3lXhFH,Against All Odds - Original Mix,2010-10-22,3,Fusion Records
150,7c6XUMXIJF2Gq09lqY4E9K,Creatures - Original Mix,2010-10-22,3,Fusion Records
151,1URTLebWCmI6EHd948dOtE,Against All Odds - Original Edit,2010-10-22,3,Fusion Records
152,56or2eRkIyokwH1GP7Jk6X,Creatures - Original Edit,2010-10-22,3,Fusion Records
153,12puOzcLBqexQzsYCL6adR,Yellow Minute - Alpha2 Remix,2010-10-18,11,Fusion Records
154,2QIywOAvqzgS5GBwl8GeiH,Club Jumper - Radio Edit,2010-08-16,13,Fusion Records
155,5QM8QVODzEaVmAVIYnjNMT,Club Jumper - Original Mix,2010-08-16,13,Fusion Records
156,5o5pF635uWWfcZi2Vpd4iN,Darkside of Emotions - Radio Edit,2010-08-16,13,Fusion Records
157,74bwcvktaVnCUPRy7UXTxl,Darkside of Emotions,2010-08-16,13,Fusion Records
158,6fgehsH9cp1ZMABoFAaoMu,Faster 'n Further - Radio Edit,2010-08-16,13,Fusion Records
159,6y4XfnmeJXGbGmjUN2tzmQ,Faster 'n Further - Original Mix,2010-08-16,13,Fusion Records
160,5m779yFd6Y5x1Qg9PBdIQ7,Macabre 2010 - Radio Edit,2010-08-16,13,Fusion Records
161,6l0xQRUolvDO2yCUjiMxz4,Macabre 2010 - Original Mix,2010-08-16,13,Fusion Records
162,1Pq7Wj6UW2GSCMDEcE223i,Faster 'N Further - Bass Modulators Remix,2010,2,Q-dance Records
163,67w6wQYa9CGDEygitg4IEK,Tonight - Original Mix,2009-05-27,21,Origins
164,3ZmjKMo4eY8XS7J9vCi0Op,Famous - Original Mix,2009-05-27,21,Origins
165,1HEJz0gvpMUvpNLVEYEBtz,CTRL.ALT.DELETE (In Qontrol Anthem 2009) - Original Mix,2009-04-14,16,Q-dance Records
166,18Mvi8tZJ26aHDJD0p7lgu,CTRL.ALT.DELETE (In Qontrol Anthem 2009) - Kasparov Remix,2009-04-14,16,Q-dance Records
167,3r3sbXsxh3YwwFrhGMMJv0,Gods & Symbols,2008,5,Reverze
168,44ZYrqqFkNnplizI3oXzUx,Gods & Symbols (Noisecontrollers remix),2008,5,Reverze
169,0bwI14sF0aR97qxjp4AAqV,The Flame Inside,2023-09-15,51,Art of Creation
